"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"2.05","0.82","37.35","66.15","33.26","94.62"
"2025-07-01",1,"1.79","0.77","30.94","53.72","27.71","94.50"
"2025-07-01",2,"1.79","0.74","34.96","63.05","27.60","94.14"
"2025-07-01",3,"1.48","0.69","40.06","76.54","36.88","94.93"
"2025-07-01",4,"1.61","0.75","48.24","86.83","27.77","94.81"
"2025-07-01",5,"1.77","4.63","47.53","85.40","27.77","94.75"
"2025-07-01",6,"1.82","1.15","45.19","81.25","27.78","95.35"
"2025-07-01",7,"1.56","0.98","41.07","73.53","27.70","95.91"
"2025-07-01",8,"1.64","1.83","35.33","62.93","28.20","94.17"
"2025-07-01",9,"3.60","2.75","30.59","54.13","29.13","90.41"
"2025-07-01",10,"3.70","4.47","29.71","52.91","29.39","88.92"
"2025-07-01",11,"2.23","2.20","34.22","61.70","28.14","93.88"
"2025-07-01",12,"5.88","3.21","46.34","82.93","30.51","88.17"
"2025-07-01",13,"10.77","5.50","38.27","73.02","39.73","83.32"
"2025-07-01",14,"7.75","6.44","35.31","62.98","31.17","87.56"
"2025-07-01",15,"18.59","6.43","31.13","55.82","32.37","78.36"
"2025-07-01",16,"23.12","21.23","30.19","52.76","32.54","79.77"
"2025-07-01",17,"2.48","1.43","31.41","55.42","31.00","83.97"
"2025-07-01",18,"2.22","2.18","38.20","68.97","30.85","85.92"
"2025-07-01",19,"2.13","4.18","39.09","70.57","30.47","88.37"
"2025-07-01",20,"2.56","4.03","40.88","73.39","30.16","89.66"
"2025-07-01",21,"1.87","3.27","44.73","80.66","29.66","90.60"
"2025-07-01",22,"3.49","3.63","50.19","90.79","29.49","90.45"
"2025-07-01",23,"5.99","1.24","45.51","82.06","29.30","88.13"
"2025-07-02",0,"3.11","1.06","47.27","85.09","28.72","89.63"
"2025-07-02",1,"2.36","1.20","55.00","98.98","28.48","90.68"
"2025-07-02",2,"2.92","1.26","55.12","99.39","28.45","91.23"
"2025-07-02",3,"1.58","0.86","44.04","79.72","28.27","92.83"
"2025-07-02",4,"1.72","1.18","44.84","81.07","28.23","94.88"
"2025-07-02",5,"1.86","0.83","41.14","74.53","28.19","93.28"
"2025-07-02",6,"1.68","3.44","42.12","76.23","28.05","93.95"
"2025-07-02",7,"1.76","0.79","39.88","71.87","28.18","93.49"
"2025-07-02",8,"2.45","1.58","34.67","62.48","28.86","90.92"
"2025-07-02",9,"4.42","3.37","31.30","55.99","29.68","87.69"
"2025-07-02",10,"8.07","6.65","28.55","51.12","31.09","82.94"
"2025-07-02",11,"12.39","9.51","24.41","43.97","32.34","78.11"
"2025-07-02",12,"10.78","7.71","32.61","58.91","32.45","78.31"
"2025-07-02",13,"13.49","7.33","26.50","48.39","33.73","74.29"
"2025-07-02",14,"20.91","11.72","21.95","39.60","34.77","69.30"
"2025-07-02",15,"30.89","22.41","22.82","41.27","34.99","69.44"
"2025-07-02",16,"25.07","19.50","21.68","38.52","34.88","69.43"
"2025-07-02",17,"26.70","22.61","21.25","37.90","34.97","69.09"
"2025-07-02",18,"6.49","5.99","23.65","43.17","31.54","80.62"
"2025-07-02",19,"9.61","11.81","30.04","55.39","27.93","94.95"
"2025-07-02",20,"5.38","10.88","29.77","54.65","28.35","93.22"
"2025-07-02",21,"4.59","7.92","23.94","42.93","28.31","94.92"
"2025-07-02",22,"3.79","5.96","24.14","43.54","28.34","95.31"
"2025-07-02",23,"3.20","3.69","24.20","43.34","28.46","95.46"
"2025-07-03",0,"3.31","2.92","22.99","41.04","28.32","95.55"
"2025-07-03",1,"2.67","1.28","23.56","42.98","28.14","95.14"
"2025-07-03",2,"3.45","1.14","22.54","40.96","28.15","96.25"
"2025-07-03",3,"3.19","0.75","23.21","41.28","28.33","95.28"
"2025-07-03",4,"3.13","0.60","21.94","38.94","28.18","94.87"
"2025-07-03",5,"2.85","7.17","22.48","40.06","27.99","95.76"
"2025-07-03",6,"2.66","3.81","22.89","40.37","27.94","94.62"
"2025-07-03",7,"1.81","1.78","23.49","41.36","28.05","94.83"
"2025-07-03",8,"2.00","1.02","41.12","73.04","27.80","95.47"
"2025-07-03",9,"1.88","1.73","48.81","87.73","28.52","94.77"
"2025-07-03",10,"2.26","1.98","51.34","92.42","30.14","90.00"
"2025-07-03",11,"9.77","6.81","38.62","69.56","32.28","80.49"
"2025-07-03",12,"15.04","10.46","41.30","74.84","33.54","74.71"
"2025-07-03",13,"18.94","10.09","48.04","87.11","34.23","71.97"
"2025-07-03",14,"21.92","11.65","44.92","81.67","34.30","71.09"
"2025-07-03",15,"18.57","11.11","32.24","58.44","34.08","72.13"
"2025-07-03",16,"5.91","6.20","26.76","48.92","31.16","80.46"
"2025-07-03",17,"5.49","6.27","32.07","57.05","28.64","90.17"
"2025-07-03",18,"3.18","6.18","44.01","80.22","28.95","90.36"
"2025-07-03",19,"2.08","4.92","56.05","102.86","29.16","88.57"
"2025-07-03",20,"2.47","3.92","32.67","60.19","29.05","90.47"
"2025-07-03",21,"2.90","2.54","24.89","45.76","28.86","91.97"
"2025-07-03",22,"2.20","2.05","26.01","48.34","28.64","92.83"
"2025-07-03",23,"2.29","1.37","35.01","68.47","36.66","93.11"
"2025-07-04",0,"2.64","0.90","37.02","67.03","28.65","93.63"
"2025-07-04",1,"3.82","0.76","35.87","69.61","36.31","94.33"
"2025-07-04",2,"3.97","0.73","42.34","76.67","28.39","94.31"
"2025-07-04",3,"3.56","0.69","44.38","80.27","28.43","94.42"
"2025-07-04",4,"3.10","0.61","42.03","75.86","28.42","94.13"
"2025-07-04",5,"3.71","0.76","41.18","74.52","28.44","94.16"
"2025-07-04",6,"2.90","0.98","33.45","61.41","28.14","92.53"
"2025-07-04",7,"2.56","0.76","33.66","63.70","28.18","90.89"
"2025-07-04",8,"2.32","1.39","39.23","73.83","29.57","86.61"
"2025-07-04",9,"2.53","2.39","51.12","92.14","30.85","83.36"
"2025-07-04",10,"5.30","3.67","53.95","99.45","32.19","79.71"
"2025-07-04",11,"8.43","5.96","43.62","79.05","33.57","74.92"
"2025-07-04",12,"3.63","4.71","42.50","81.07","40.27","79.91"
"2025-07-04",13,"3.79","3.22","43.82","77.77","29.66","90.14"
"2025-07-04",14,"3.39","3.85","50.99","91.06","30.02","89.81"
"2025-07-04",15,"3.23","2.71","46.35","82.39","29.27","91.49"
"2025-07-04",16,"3.37","3.13","41.76","74.03","28.23","93.16"
"2025-07-04",17,"2.63","4.22","43.00","77.10","27.90","94.21"
"2025-07-04",18,"1.75","3.33","41.91","75.30","28.40","93.80"
"2025-07-04",19,"2.00","1.44","42.25","75.97","28.30","92.74"
"2025-07-04",20,"1.93","1.57","37.49","68.05","28.25","92.34"
"2025-07-04",21,"1.83","1.54","39.30","71.20","28.04","93.41"
"2025-07-04",22,"1.89","1.64","32.81","60.04","28.02","93.73"
"2025-07-04",23,"2.09","1.48","31.88","58.73","28.00","93.56"
"2025-07-05",0,"1.89","1.26","34.84","63.33","27.89","93.88"
"2025-07-05",1,"3.00","0.97","30.78","54.92","27.75","94.31"
"2025-07-05",2,"3.49","1.00","31.60","56.63","27.80","94.52"
"2025-07-05",3,"3.34","0.76","35.30","64.01","27.80","94.45"
"2025-07-05",4,"3.40","0.65","42.87","77.48","27.77","94.34"
"2025-07-05",5,"3.07","0.74","40.67","73.14","27.80","94.13"
"2025-07-05",6,"3.19","0.98","38.09","69.04","27.82","94.29"
"2025-07-05",7,"3.45","0.70","39.90","72.14","27.92","93.91"
"2025-07-05",8,"2.83","1.01","42.45","76.64","28.38","92.23"
"2025-07-05",9,"2.90","0.77","41.03","74.19","29.26","89.92"
"2025-07-05",10,"3.91","4.46","39.95","72.47","31.30","83.47"
"2025-07-05",12,"7.53","6.37","51.31","93.85","32.07","79.68"
"2025-07-05",13,"9.82","6.37","49.50","92.38","32.66","82.85"
"2025-07-05",14,"5.54","3.37","47.12","87.07","31.88","80.07"
"2025-07-05",15,"5.17","5.13","30.71","55.23","31.43","82.56"
"2025-07-05",16,"5.55","6.54","37.40","67.10","31.64","79.89"
"2025-07-05",17,"4.25","2.42","59.64","107.19","32.20","80.10"
"2025-07-05",18,"4.31","2.44","45.06","80.97","31.17","83.17"
"2025-07-05",19,"5.83","3.06","39.81","72.20","29.98","89.64"
"2025-07-05",20,"6.88","4.90","38.74","68.63","29.11","93.84"
"2025-07-05",21,"4.45","4.26","45.29","92.35","28.66","92.46"
"2025-07-05",22,"2.42","1.85","32.77","60.56","28.48","92.88"
"2025-07-05",23,"3.60","1.38","35.93","65.45","28.48","93.00"
"2025-07-06",0,"3.71","0.94","38.41","67.70","28.46","93.49"
"2025-07-06",1,"3.69","2.16","38.48","67.77","28.30","93.87"
"2025-07-06",2,"3.62","0.71","38.77","68.98","28.33","94.23"
"2025-07-06",3,"3.68","0.74","38.70","68.59","28.33","94.28"
"2025-07-06",4,"4.53","0.91","37.88","66.70","28.27","94.38"
"2025-07-06",5,"4.05","1.44","35.49","63.22","27.95","95.14"
"2025-07-06",6,"4.89","0.86","40.59","70.94","27.52","96.96"
"2025-07-06",7,"3.98","0.78","40.98","71.35","27.87","96.15"
"2025-07-06",8,"2.69","0.76","47.78","84.63","28.54","94.27"
"2025-07-06",9,"2.60","2.78","45.39","80.27","29.77","89.77"
"2025-07-06",10,"2.94","5.33","42.52","75.27","30.46","87.21"
"2025-07-06",11,"5.60","6.92","38.03","66.72","31.06","84.80"
"2025-07-06",12,"6.16","8.52","36.78","64.28","31.40","83.75"
"2025-07-06",13,"10.13","6.95","37.57","66.00","32.57","80.19"
"2025-07-06",14,"4.75","6.66","27.46","47.63","30.76","89.82"
"2025-07-06",15,"2.65","0.57","27.27","48.56","30.12","87.13"
"2025-07-06",16,"2.31","1.86","31.89","57.76","28.77","89.42"
"2025-07-06",17,"2.22","2.40","23.74","41.78","27.89","92.86"
"2025-07-06",18,"2.75","2.18","21.59","37.52","27.82","92.95"
"2025-07-06",19,"2.13","1.51","25.18","44.54","27.94","93.55"
"2025-07-06",20,"2.19","1.28","25.64","45.60","28.08","93.53"
"2025-07-06",21,"2.21","1.08","26.11","46.99","27.96","94.37"
"2025-07-06",22,"2.38","1.72","27.87","51.09","27.72","95.89"
"2025-07-06",23,"2.12","1.34","28.97","53.10","27.75","95.95"
"2025-07-07",0,"2.54","0.95","26.77","48.45","27.89","95.53"
"2025-07-07",1,"2.90","0.74","22.07","39.15","27.99","94.08"
"2025-07-07",2,"2.89","1.08","19.41","33.71","27.49","94.75"
"2025-07-07",3,"3.27","0.81","20.45","35.64","27.35","95.15"
"2025-07-07",4,"3.44","1.06","21.02","37.02","27.27","96.06"
"2025-07-07",5,"3.29","1.82","19.05","32.88","26.88","96.08"
"2025-07-07",6,"3.23","0.66","18.33","31.82","26.68","96.13"
"2025-07-07",7,"2.90","0.90","21.02","36.41","27.03","96.50"
"2025-07-07",8,"2.65","3.15","25.06","43.54","27.37","96.02"
"2025-07-07",9,"2.41","1.82","24.16","41.55","28.36","92.84"
"2025-07-07",10,"4.16","5.46","27.34","47.63","29.37","88.64"
"2025-07-07",11,"8.43","7.92","23.84","41.40","30.93","82.90"
"2025-07-07",12,"10.49","9.34","21.18","36.71","32.31","77.77"
"2025-07-07",13,"10.39","9.56","21.22","39.03","33.15","75.58"
"2025-07-07",14,"4.83","5.68","23.00","41.45","29.93","88.06"
"2025-07-07",15,"5.70","6.15","22.64","39.48","27.82","95.17"
"2025-07-07",16,"4.52","5.12","27.70","48.55","28.51","94.63"
"2025-07-07",17,"3.91","3.23","24.91","43.71","28.79","94.59"
"2025-07-07",18,"2.18","1.18","37.32","68.67","27.67","92.13"
"2025-07-07",19,"2.02","1.54","23.77","43.45","27.55","93.74"
"2025-07-07",20,"1.77","1.37","22.02","39.35","27.52","94.11"
"2025-07-07",21,"1.47","1.51","30.07","55.50","27.59","94.22"
"2025-07-07",22,"1.78","1.29","39.50","72.03","27.80","95.29"
"2025-07-07",23,"1.72","0.99","28.49","51.86","27.60","95.25"
"2025-07-08",0,"2.08","0.98","27.79","51.22","27.27","96.23"
"2025-07-08",1,"2.73","0.78","25.48","46.94","27.19","96.29"
"2025-07-08",2,"2.74","0.73","26.02","47.40","27.12","96.52"
"2025-07-08",3,"2.83","0.74","29.38","52.51","27.07","96.55"
"2025-07-08",4,"2.90","0.79","20.00","35.71","26.91","96.28"
"2025-07-08",5,"2.76","0.95","21.21","38.47","26.84","96.50"
"2025-07-08",6,"2.64","0.95","29.48","52.94","26.97","96.44"
"2025-07-08",7,"2.46","0.83","40.93","72.44","27.20","95.88"
"2025-07-08",8,"2.56","1.18","26.76","46.45","27.01","95.73"
"2025-07-08",9,"2.06","0.99","29.03","54.65","35.12","95.61"
"2025-07-08",10,"2.00","0.98","25.17","43.62","27.76","93.81"
"2025-07-08",11,"5.83","4.33","20.94","35.78","30.76","84.42"
"2025-07-08",12,"6.36","8.74","22.57","40.77","30.85","85.46"
"2025-07-08",13,"3.76","4.65","24.27","42.77","30.09","88.18"
"2025-07-08",14,"2.83","4.99","23.65","41.08","29.49","89.91"
"2025-07-08",15,"4.03","1.82","20.93","35.81","27.49","94.09"
"2025-07-08",16,"3.13","1.80","20.85","35.80","28.02","92.87"
"2025-07-08",17,"2.29","2.12","20.43","35.03","29.14","89.42"
"2025-07-08",18,"2.28","2.58","19.84","34.17","28.97","89.13"
"2025-07-08",19,"2.19","1.88","21.37","37.46","28.70","92.01"
"2025-07-08",20,"3.64","0.98","22.57","40.68","27.97","92.88"
"2025-07-08",21,"3.14","1.65","24.97","46.00","27.55","95.00"
"2025-07-08",22,"2.98","1.83","25.23","46.29","27.50","95.54"
"2025-07-08",23,"2.75","1.27","23.01","50.89","43.72","95.65"
"2025-07-09",0,"3.40","0.77","23.04","41.38","27.66","95.22"
"2025-07-09",1,"3.77","0.64","25.24","45.59","27.59","95.36"
"2025-07-09",2,"3.80","0.74","26.41","47.19","27.34","95.74"
"2025-07-09",3,"4.04","0.87","40.16","70.91","27.14","95.76"
"2025-07-09",4,"3.10","0.68","42.95","76.32","31.07","96.08"
"2025-07-09",5,"3.50","6.97","25.79","45.71","26.48","96.94"
"2025-07-09",6,"3.17","1.92","18.18","31.27","26.37","96.98"
"2025-07-09",7,"3.12","0.84","17.92","30.86","26.46","97.06"
"2025-07-09",8,"3.79","0.85","21.77","37.37","26.43","97.78"
"2025-07-09",9,"3.64","1.21","30.91","54.84","27.11","96.70"
"2025-07-09",10,"3.25","1.09","31.68","60.20","35.55","95.36"
"2025-07-09",11,"2.22","2.59","35.81","63.58","28.33","92.67"
"2025-07-09",12,"2.00","1.83","49.43","86.70","27.45","94.95"
"2025-07-09",13,"2.89","0.80","26.55","45.98","27.52","96.08"
"2025-07-09",14,"2.98","0.88","25.62","45.46","27.80","94.50"
"2025-07-09",15,"2.38","0.96","30.08","53.09","27.51","94.79"
"2025-07-09",16,"1.81","0.75","32.95","59.50","27.17","95.00"
"2025-07-09",17,"1.63","0.99","31.84","57.23","27.02","95.04"
"2025-07-09",18,"1.80","0.91","32.37","58.21","26.82","95.79"
"2025-07-09",19,"2.62","0.81","34.73","62.46","26.88","94.74"
"2025-07-09",20,"2.75","0.92","46.27","83.61","27.08","94.55"
"2025-07-09",21,"2.13","1.06","44.24","79.78","27.14","94.45"
"2025-07-09",22,"1.96","0.79","43.31","78.33","27.20","94.50"
"2025-07-09",23,"1.86","0.67","37.83","68.56","27.23","94.72"
"2025-07-10",0,"1.88","2.11","33.31","59.99","27.10","95.27"
"2025-07-10",1,"2.19","0.98","29.70","53.23","26.95","95.63"
"2025-07-10",2,"2.73","1.12","25.66","45.27","26.72","96.48"
"2025-07-10",3,"3.08","0.74","20.91","36.09","26.57","97.04"
"2025-07-10",4,"2.60","0.76","22.03","39.03","26.63","96.94"
"2025-07-10",5,"2.33","0.97","30.85","59.58","34.96","96.68"
"2025-07-10",6,"2.10","1.17","44.33","79.91","26.54","97.03"
"2025-07-10",7,"1.90","0.72","41.10","74.74","26.79","96.53"
"2025-07-10",8,"1.83","0.87","45.33","81.92","27.18","95.70"
"2025-07-10",9,"1.75","1.17","43.70","78.57","26.90","97.28"
"2025-07-10",10,"1.96","1.09","35.86","63.02","26.59","98.71"
"2025-07-10",11,"1.93","1.51","34.38","61.96","27.16","96.99"
"2025-07-10",12,"1.90","1.18","43.17","77.36","27.79","96.10"
"2025-07-10",13,"2.23","2.66","37.52","65.54","27.76","96.99"
"2025-07-10",14,"2.08","1.72","36.30","67.07","37.25","93.40"
"2025-07-10",15,"2.30","4.22","29.76","51.81","27.94","94.48"
"2025-07-10",16,"3.27","1.38","32.35","56.55","27.93","96.08"
"2025-07-10",17,"2.39","1.31","34.66","61.41","28.60","94.40"
"2025-07-10",18,"1.90","1.66","27.81","48.81","28.64","93.28"
"2025-07-10",19,"2.29","1.21","29.86","53.45","28.41","94.69"
"2025-07-10",20,"1.91","0.84","33.62","61.08","28.36","92.33"
"2025-07-10",21,"1.84","1.10","30.83","55.66","27.95","92.73"
"2025-07-10",22,"1.72","0.83","29.34","53.20","27.70","93.79"
"2025-07-10",23,"1.92","0.81","29.17","53.31","27.44","94.58"
"2025-07-11",0,"2.61","0.66","30.12","54.98","27.37","96.04"
"2025-07-11",1,"3.22","0.96","28.50","52.59","27.39","96.50"
"2025-07-11",2,"2.88","0.86","29.12","54.05","27.27","96.81"
"2025-07-11",3,"2.81","0.89","30.08","55.79","27.17","96.83"
"2025-07-11",4,"2.86","0.98","32.66","60.27","27.27","96.46"
"2025-07-11",5,"2.43","5.83","33.41","61.58","27.32","96.29"
"2025-07-11",6,"2.60","3.00","32.42","59.85","27.30","96.35"
"2025-07-11",7,"2.21","1.45","34.58","63.45","27.56","95.59"
"2025-07-11",8,"1.79","1.74","31.34","57.76","28.20","93.48"
"2025-07-11",9,"2.62","4.03","28.31","52.42","29.44","88.78"
